,basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
2350,,Removable Li-Ion 1440 mAh battery,,No,94MB 128MB RAM 128MB ROM,Microsoft Windows Mobile 6.1 Standard,,2 MP,"2010, July. Released 2010, July","2.4 inches, 17.8 cm, (~26.3% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)","TFT, 65K colors",,Samsung i220 Code
2351,,Removable Li-Ion 960 mAh battery,,No,,,,1.3 MP,"2009, July. Released 2009, July","2.1 inches, 13.9 cm, (~24.2% screen-to-body ratio)",176 x 220 pixels (~134 ppi density),"TFT, 256K colors",,Samsung U450 DoubleTake
2352,,Removable Li-Ion 1000 mAh battery,,No,15MB,,,VGA,"2009, August. Released 2009, September","2.0 inches, 12.4 cm, (~23.6% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~100 ppi density)","TFT, 65K colors",,Samsung C3212
2353,,Removable Li-Ion 800 mAh battery,,No,40MB,,,2 MP,"2009, August. Released 2009, September","2.0 inches, 12.4 cm, (~25.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","TFT, 256K colors",,Samsung B3310
2354,,Removable Li-Ion 800 mAh battery,,No,,,,2 MP,"2009, September. Released 2009, October",,"240 x 320 pixels, 4:3 ratio","TFT, 256K colors",,Samsung T659 Scarlet
2355,,Removable battery,,No,,,,2 MP,Not officially announced yet,"2.8 inches, 24.3 cm","240 x 320 pixels, 4:3 ratio (~143 ppi density)","TFT capacitive touchscreen, 256K colors",,Samsung C5030
2356,,Removable Li-Ion 960 mAh battery,,No,50MB,,,2 MP,"2009, August. Released 2009, September","2.8 inches, 24.3 cm, (~41.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","TFT capacitive touchscreen, 256K colors",,Samsung S3650 Corby
2357,,Removable Li-Ion 1080 mAh battery,,Yes,130MB,,,3.15 MP,"2009, September. Released 2009, November","3.0 inches, 25.6 cm, (~44.3% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)","TFT capacitive touchscreen, 16M colors",Accelerometer,Samsung S7550 Blue Earth
2358,,Removable Li-Ion 1000 mAh battery,,No,50MB,,,3.15 MP,"2009, September. Released 2009, September","3.0 inches, 25.6 cm, (~46.5% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)","TFT resistive touchscreen, 256K colors",Accelerometer,Samsung S5230W Star WiFi
2359,,Removable Li-Ion 800 mAh battery,,CIF,,,,3.15 MP,"2009, October. Released 2009, October","2.1 inches, 13.7 cm, (~31.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~190 ppi density)","TFT, 256K colors",,Samsung S5510
2360,,Removable Li-Ion 800 mAh battery,,,1MB,,,No,"2009, September. Released 2009, September","1.43 inches, 6.6 cm, (~13.5% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~127 ppi density)","CSTN, 65K colors",,Samsung E1080T
2361,,Removable Li-Ion 800 mAh battery,,,1MB,,,No,"2009, September. Released 2009, September","1.43 inches, 6.6 cm, (~13.5% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~127 ppi density)","CSTN, 65K colors",,Samsung E1085T
2362,,Removable Li-Ion 1500 mAh battery,,Yes,270MB 256MB RAM 512MB ROM,Microsoft Windows Mobile 6.5 Standard,,"3.15 MP, AF","2009, September. Released 2009, November","2.62 inches, 22.1 cm, (~32.7% screen-to-body ratio)","320 x 320 pixels, 1:1 ratio (~173 ppi density)","TFT, 65K colors",,Samsung B7330 OmniaPRO
2363,,Removable Li-Ion 1000 mAh battery,,VGA videocall camera,160MB,,,"5 MP, AF","2009, February. Released 2009, August","2.8 inches, 24.3 cm, (~44.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","TFT capacitive touchscreen, 256K colors",,Samsung F480i
2364,,Removable Li-Ion 800 mAh battery,,No,40MB,,,2 MP,"2009, September. Released 2009, September","2.2 inches, 15.2 cm, (~22.8% screen-to-body ratio)",220 x 176 pixels (~128 ppi density),"TFT, 256K colors",,Samsung B3210 CorbyTXT
2365,,Removable Li-Ion 960 mAh battery,,Yes,150MB,,,3.15 MP,"2009, September. Released 2009, November","2.8 inches, 24.3 cm, (~40.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","TFT resistive touchscreen, 256K colors",Accelerometer,Samsung B5310 CorbyPRO
2366,,Removable Li-Ion 1500 mAh battery,,Yes,1GB,Linux-based LiMo R2.0.1,,3.15 MP,"2009, September. Released 2009, November","3.2 inches, 29.1 cm, (~47.0% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)","TFT  touchscreen, 16M colors",,Samsung Vodafone 360 M1
2367,,Removable Li-Ion 1500 mAh battery,,Yes,16GB,LiMo OS,,"5 MP, AF","2009, September. Released 2009, November","3.5 inches, 34.9 cm, (~51.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~267 ppi density)","AMOLED capacitive touchscreen, 16M colors",,Samsung Vodafone 360 H1
2368,,Removable Li-Ion 1080 mAh battery,,Videocall camera,4GB,,,"12 MP, AF, 3x optical zoom","2009, September. Released 2009, October","3.3 inches, 31.0 cm, (~47.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~283 ppi density)","AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity",Samsung W880 AMOLED 12M
2369,,Removable Li-Ion 1500 mAh battery,,Videocall camera,8GB,,,"12 MP, AF, 3x optical zoom",Not officially announced yet,"3.3 inches, 31.0 cm, (~47.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~283 ppi density)","AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity",Samsung M8920
2370,,Removable Li-Ion 1500 mAh battery,,No,200MB,Android 1.5 (Cupcake),,"5 MP, AF","2009, October. Released 2009, November","3.2 inches, 30.5 cm, (~46.7% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)","AMOLED capacitive touchscreen, 16M colors (65K effective)","Accelerometer, proximity",Samsung T939 Behold 2
2371,,Removable Li-Ion 1500 mAh battery,,Yes,8GB 256MB RAM,"Microsoft Windows Mobile 6.1 Professional, upgradable to Windows Mobile 6.5",,"5 MP, AF","2009, October. Released 2009, October","3.5 inches, 34.9 cm, (~50.5% screen-to-body ratio)","800 x 480 pixels, 5:3 ratio (~267 ppi density)","AMOLED resistive touchscreen, 16M colors (65K effective)",Accelerometer,Samsung B7620 Giorgio Armani
2372,,Removable Li-Ion battery,,No,,,,1.3 MP,"2009, October. Released 2009, December","2.1 inches, 13.9 cm, (~24.4% screen-to-body ratio)",176 x 220 pixels (~134 ppi density),"TFT, 65K colors",,Samsung T401G
2373,,Removable Li-Ion 1000 mAh battery,,,,,,No,"2009, October. Released 2009, October","1.52 inches, 7.5 cm, (~15.3% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~119 ppi density)","CSTN, 65K colors",,Samsung E1130B
2374,,Removable Li-Ion 1000 mAh battery,,No,7MB,,,VGA,"2009, September. Released 2009, October","1.77 inches, 9.9 cm, (~20.5% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),"CSTN, 65K colors",,Samsung E2130
2375,,Removable Li-Ion 1000 mAh battery,,,,,,No,"2009, September. Released 2009, September","1.52 inches, 7.5 cm, (~15.6% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~119 ppi density)","CSTN, 65K colors",,Samsung E1160
2376,,Removable Li-Ion 1000 mAh battery,,,5MB,,,No,"2009, September. Released 2009, September","1.63 inches, 8.6 cm, (~17.3% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~111 ppi density)","CSTN, 65K colors",,Samsung E1390
2377,,Removable Li-Ion 1500 mAh battery,,No,180MB,Android 1.5 (Cupcake)/ 2.1 (Eclair),,"3.15 MP, AF","2009, September. Released 2009, November","3.2 inches, 30.5 cm, (~46.5% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, compass",Samsung I5700 Galaxy Spica
2378,,Removable Li-Ion 960 mAh battery,,CIF,80MB,,,"3.15 MP, AF","2009, November. Released 2009, Q4","2.8 inches, 24.3 cm, (~39.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","TFT resistive touchscreen, 256K colors",Accelerometer,Samsung S5630C
2379,,Removable Li-Ion 960 mAh battery,,No,78MB,,,"5 MP, AF","2009, October. Released 2009, November","3.0 inches, 25.6 cm, (~45.2% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)","TFT resistive touchscreen, 256K colors",Accelerometer,Samsung S5560 Marvel
2380,,Removable Li-Ion 1000 mAh battery,,No,72MB,,,"2 MP, AF","2009, December. Released 2009, December","3.0 inches, 25.6 cm, (~44.9% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)","TFT resistive touchscreen, 256K colors",Accelerometer,Samsung A886 Forever
2381,,Removable Li-Ion 1500 mAh battery,,No,,Microsoft Windows Mobile 6.5 Professional,,"5 MP, AF","2009, November. Released 2009, December","3.7 inches, 39.0 cm, (~55.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~252 ppi density)","AMOLED capacitive touchscreen, 16M colors",Accelerometer,Samsung M715 T*OMNIA II
2382,,Removable Li-Ion 960 mAh battery,,No,30MB,,,2 MP,"2009, October. Released 2009, October","2.6 inches, 20.9 cm, (~39.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)","TFT touchscreen, 256K colors",,Samsung B3410
2383,,Removable Li-Ion 1000 mAh battery,,No,190MB,,,2 MP,"2009, October. Released 2009, November","2.8 inches, 24.3 cm, (~41.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","TFT resistive touchscreen, 256K colors",,Samsung A797 Flight
2384,,Removable Li-Ion 800 mAh battery,,No,10MB,,,VGA,"2009, November. Released 2010, February","1.4 inches, 6.2 cm, (~13.5% screen-to-body ratio)",128 x 160 pixels (~146 ppi density),"TFT, 65K colors",,Samsung T139
2385,,Removable Li-Ion 960 mAh battery,,Yes,15MB,,,3.2 MP,"2009, December. Released 2010","2.2 inches, 15.0 cm, (~34.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 256K colors",,Samsung S5500 Eco
2386,,Removable Li-Ion 1150 mAh battery,,No,189MB,,,"3.15 MP, AF","2009, October. Released 2009, November","3.3 inches, 30.0 cm, (~50.6% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~223 ppi density)","TFT resistive touchscreen, 256K colors",Accelerometer,Samsung A897 Mythic
2387,,Removable Li-Ion 960 mAh battery,,No,40MB,,,3.15 MP,"2009, October. Released 2009, November","2.1 inches, 13.7 cm, (~27.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~190 ppi density)","TFT, 256K colors",,Samsung M3310
2388,,Removable Li-Ion 960 mAh battery,,No,40MB,,,3.15 MP,"2009, October. Released 2009, November","2.1 inches, 13.7 cm, (~28.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~190 ppi density)","TFT, 256K colors",,Samsung M3310L
2389,,Removable Li-Ion 1200 mAh battery,,No,30MB,,,3.15 MP,"2009, November. Released 2009, December","2.8 inches, 24.3 cm, (~42.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","TFT capacitive touchscreen, 256K colors",,Samsung B5722
2390,,Removable Li-Po 1500 mAh battery,,VGA,16GB (14GB user available),"Android 2.1 (Eclair), upgradable to 2.3 (Gingerbread)",,"5 MP, AF","2010, June. Released 2010, July","4.0 inches, 45.5 cm, (~58.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Samsung M110S Galaxy S
2391,,Removable Li-Ion 1150 mAh battery,,No,,,,"3.2 MP, AF","2010, April. Released 2010, July","3.2 inches, 29.1 cm, (~47.5% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)","AMOLED 3D capacitive touchscreen, 16M colors",Accelerometer,Samsung W960 AMOLED 3D
2392,,Removable Li-Ion 1000 mAh battery,,No,30MB,TouchWiz Lite UI,,1.3 MP,"2010, May. Released 2010, June","2.4 inches, 17.8 cm, (~34.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT resistive touchscreen, 256K colors",,Samsung C3300K Champ
2393,,Removable Li-Ion 1300 mAh battery,,No,70MB,,,2 MP,"2010, May. Released 2010, June","2.2 inches, 15.0 cm, (~28.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 256K colors",,Samsung A847 Rugby II
2394,,Removable Li-Ion 1200 mAh battery,,Yes,270MB,,,"5 MP, AF","2010, June. Released 2010, June","3.2 inches, 29.1 cm, (~46.3% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)","TFT resistive touchscreen, 256K colors",,Samsung B7722
2395,,Removable Li-Ion 1500 mAh battery,,No,512MB 256MB RAM,"Android 2.1 (Eclair), upgradable to 2.2 (Froyo)",,"3.15 MP, AF","2010, June. Released 2010, July","3.2 inches, 29.1 cm, (~46.7% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Samsung I5800 Galaxy 3
2396,,Removable Li-Ion 1500 mAh battery,,No,512MB 256MB RAM,"Android 2.1 (Eclair), upgradable to 2.2 (Froyo)",,"3.15 MP, AF","2010, June. Released 2010, July","3.2 inches, 29.1 cm, (~46.7% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Samsung I5801 Galaxy Apollo
2397,,Removable Li-Ion 1200 mAh battery,,No,170MB,"Android 2.1 (Eclair), upgradable to 2.2 (Froyo)",,2 MP,"2010, June. Released 2010, August","2.8 inches, 24.3 cm, (~40.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity",Samsung I5500 Galaxy 5
2398,,Removable Li-Ion 1200 mAh battery,,No,100MB,bada OS,,3.15 MP,"2010, June. Released 2010, October","3.2 inches, 29.1 cm, (~48.4% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)","TFT capacitive touchscreen,  256K colors",Accelerometer,Samsung S5250 Wave525
2399,,Removable Li-Ion 1200 mAh battery,,No,100MB,bada OS,,3.15 MP,"2010, June. Released 2010, October","3.2 inches, 29.1 cm, (~48.4% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)","TFT capacitive touchscreen,  256K colors",Accelerometer,Samsung S5330 Wave533
2400,,Removable Li-Ion 1000 mAh battery,,No,50MB,,,1.3 MP,"2010, July. Released 2010, July","2.5 inches, 19.4 cm, (~32.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~160 ppi density)","TFT, 256K colors",,Samsung T369
2401,,Removable Li-Ion 1000 mAh battery,,No,55MB,,,1.3 MP,"2009, August. Released 2009, August","2.2 inches, 15.2 cm, (~22.3% screen-to-body ratio)",220 x 176 pixels (~128 ppi density),"TFT, 256K colors",,Samsung R351 Freeform
2402,,Removable Li-Ion 1160 mAh battery,,No,,,,2 MP,"2010, April. Released 2010, June","2.66 inches, 21.9 cm, (~35.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~150 ppi density)","TFT, 256K colors",,Samsung M570 Restore
2403,,Removable Li-Ion 1500 mAh battery,,No,123MB,Microsoft Windows Mobile 6.5 Standard,,2 MP,"2010, April. Released 2010, April","2.4 inches, 17.8 cm, (~25.4% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)","TFT, 65K colors",,Samsung i225 Exec
2404,,Removable Li-Ion 1000 mAh battery,,No,100MB,,,2 MP,"2010, May. Released 2010, May","2.6 inches, 20.9 cm, (~36.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)","TFT touchscreen,  256K colors",,Samsung R360 Messenger Touch
2405,,Removable Li-Ion 1500 mAh battery,,No,,"Android 2.1 (Eclair), upgradable to 2.2 (Froyo)",,"3.15 MP, AF","2010, July. Released 2010, July","3.2 inches, 29.1 cm, (~46.1% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)","TFT touchscreen, 65K colors",Accelerometer,Samsung Intercept
2406,,Removable Li-Ion 1500 mAh battery,,No,,"Android 2.1 (Eclair), upgradable to 2.2 (Froyo)",,"3.15 MP, AF","2010, June. Released 2010, July","3.2 inches, 30.5 cm, (~45.3% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)","TFT touchscreen,  256K colors",Accelerometer,Samsung Acclaim
2407,,Removable Li-Ion 1500 mAh battery,,VGA,512MB 512MB RAM,"Android 2.1 (Eclair), upgradable to 2.2 (Froyo)",,"5 MP, AF","2010, June. Released 2010, September","4.0 inches, 45.5 cm, (~56.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Samsung Epic 4G
2408,,Removable Li-Ion 1500 mAh battery,,No,"128MB RAM, 256MB ROM",,,1.3 MP,"2010, May. Released 2010, May","2.6 inches, 20.9 cm, (~37.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)","TFT touchscreen,  256K colors",,Samsung M350 Seek
2409,,Removable Li-Ion 1000 mAh battery,,No,,,,1.3 MP,"2010, July. Released 2010, July","2.2 inches, 15.0 cm, (~16.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 256K colors",,Samsung U460 Intensity II
2410,,Removable Li-Ion 1000 mAh battery,,,24MB 16MB RAM 64MB ROM,,,No,"2010, July. Released 2010, July","2.2 inches, 15.2 cm, (~29.9% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),"TFT, 65K colors",,Samsung U320 Haven
2411,,Removable Li-Ion 1500 mAh battery,,Yes,220MB,Microsoft Windows Mobile 6.5 Standard,,2 MP,"2010, June. Released 2010, October","2.4 inches, 17.8 cm, (~24.8% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)","TFT, 65K colors",,Samsung B6520 Omnia PRO 5
2412,,Removable Li-Ion 1500 mAh battery,,CIF,200MB,Microsoft Windows Mobile 6.5 Professional,,"3.15 MP, AF","2010, June. Released 2010, October","2.62 inches, 22.1 cm, (~31.5% screen-to-body ratio)","320 x 320 pixels, 1:1 ratio (~173 ppi density)","TFT resistive touchscreen, 65K colors",,Samsung B7350 Omnia PRO 4
2413,,Removable Li-Ion 1500 mAh battery,,No,16GB 512MB RAM,"Android 2.1 (Eclair), upgradable to 2.3 (Gingerbread)",,"5 MP, AF","2010, June. Released 2010, July","4.0 inches, 45.5 cm, (~58.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Samsung i897 Captivate
2414,,Removable Li-Ion 800 mAh battery,,Yes,42MB,,,1.3 MP,"2010, May. Released 2010, Q3","2.0 inches, 12.6 cm, (~23.8% screen-to-body ratio)",128 x 160 pixels (~102 ppi density),"TFT, 65K colors",,Samsung C5010 Squash
2415,,Removable Li-Ion 1000 mAh battery,,No,50MB,,,1.3 MP,"2010, June. Released 2010, June",,"240 x 320 pixels, 4:3 ratio","TFT, 256K colors",,Samsung :) Smiley
2416,,Removable Li-Ion 1000 mAh battery,,No,70MB,,,2 MP,"2010, June. Released 2010, June",,"240 x 320 pixels, 4:3 ratio","TFT, 256K colors",,Samsung T479 Gravity 3
2417,,Removable Li-Ion 1000 mAh battery,,No,50MB,,,2 MP,"2010, June. Released 2010, June",,"240 x 320 pixels, 4:3 ratio","TFT resistive touchscreen, 256K colors",Accelerometer,Samsung T669 Gravity T
2418,,Removable Li-Ion battery,,No,512MB,,,2 MP,"2010, August. Released 2010, August","3.0 inches, 25.6 cm, (~43.0% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)","TFT capacitive touchscreen, 256K colors",,Samsung A927 Flight II
2419,,Removable Li-Ion 1500 mAh battery,,No,16GB 512MB RAM,"Android 2.1 (Eclair), upgradable to 2.2 (Froyo)",,"5 MP, AF","2010, June. Released 2010, August","4.0 inches, 45.5 cm, (~57.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Samsung Vibrant
2420,,Removable Li-Po 1500 mAh battery,,No,2GB,"Android 2.1 (Eclair), upgradable to 2.2 (Froyo)",,"5 MP, AF","2010, June. Released 2010, Q3","4.0 inches, 45.5 cm, (~56.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Samsung Fascinate
2421,,Removable Li-Ion 1000 mAh battery,,No,64MB,,,VGA,"2010, August. Released 2010, August","2.0 inches, 12.6 cm, (~26.5% screen-to-body ratio)",128 x 160 pixels (~102 ppi density),"TFT,  256K colors",,Samsung U360 Gusto
2422,,Removable Li-Ion 800 mAh battery,,Yes,40MB,,,"3.15 MP, AF","2010, August. Released 2010, August","2.2 inches, 15.0 cm, (~28.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",,Samsung S5530
2423,,Removable Li-Ion 1000 mAh battery,,No,,,,VGA,"2010, August. Released 2010, September","2.0 inches, 12.6 cm, (~24.4% screen-to-body ratio)",128 x 160 pixels (~102 ppi density),"TFT, 256K colors",,Samsung E2152
2424,,Removable Li-Po 1500 mAh battery,,VGA,8GB,Android 2.1 (Eclair),,"5 MP, AF","2010, August. Released 2010, Q3","3.7 inches, 39.0 cm, (~54.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~252 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Samsung M130L Galaxy U
2425,,Removable Li-Ion 900 mAh battery,,No,40MB,,,3.15 MP,2011,"2.4 inches, 17.8 cm, (~37.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 256K colors",,Samsung C3752
2426,,Removable Li-Ion 800 mAh battery,,No,37MB,,,3.15 MP,"2010, November. Released 2010, November","2.4 inches, 17.8 cm, (~37.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 256K colors",,Samsung C3750
2427,,Removable Li-Ion 1200 mAh battery,,No,90MB,bada OS,,"5 MP, AF","2010, August. Released 2010, October","3.2 inches, 29.1 cm, (~49.4% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)","TFT capacitive touchscreen,  256K colors",Accelerometer,Samsung S7230E Wave 723
2428,,Removable Li-Ion 1500 mAh battery,,No,165MB,,,"3.15 MP, AF","2010, September. Released 2010, September","3.3 inches, 31.0 cm, (~48.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~283 ppi density)","AMOLED capacitive touchscreen, 16M colors",,Samsung R900 Craft
2429,,Removable Li-Ion 1300 mAh battery,,No,30MB,,,2 MP,"2010, September. Released 2010, October","2.0 inches, 12.4 cm, (~19.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","TFT, 256K colors",Compass,Samsung Xcover 271
2430,,Removable Li-Ion 1200 mAh battery,,No,160MB,"Android 2.2 (Froyo), upgradable to 2.3.6 (Gingerbread)",,"3.15 MP, AF","2010, October. Released 2010, Q4","3.2 inches, 29.1 cm, (~47.7% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Samsung Galaxy 551
2431,,Removable Li-Ion battery,,No,,,,Yes,Not officially announced yet,"2.0 inches, 12.6 cm",128 x 160 pixels (~102 ppi density),"TFT, 256K colors",,Samsung Guru Dual 26
2432,,Removable Li-Ion 1000 mAh battery,,No,42MB,,,1.3 MP,"2010, October. Released 2010, October","2.2 inches, 15.0 cm, (~26.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 256K colors",,Samsung R360 Freeform II
2433,,Removable Li-Ion 1500 mAh battery,,VGA,512MB 512MB RAM,"Android 2.1 (Eclair), upgradable to 2.2 (Froyo)",,3.15 MP,"2010, October. Released 2010, October","3.5 inches, 36.5 cm, (~51.1% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity",Samsung M920 Transform
2434,,Removable Li-Ion 1500 mAh battery,,VGA,2GB 512MB RAM,"Android 2.1 (Eclair), upgradable to 2.2 (Froyo)",,"5 MP, AF","2010, October. Released 2010, October","4.0 inches, 45.5 cm, (~56.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Samsung Mesmerize i500
2435,,Removable Li-Ion 1500 mAh battery,,VGA,8GB,Android 2.2 (Froyo),,"5 MP, AF","2010, October. Released 2010, Q4","3.7 inches, 39.0 cm, (~54.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~252 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Samsung M130K Galaxy K
2436,,Removable Li-Ion 1000 mAh battery,,1.3 MP,,,,3.15 MP,"2010, August. Released 2010, Q4","3.0 inches, 25.6 cm","240 x 400 pixels, 5:3 ratio (~155 ppi density)","TFT touchscreen, 256K colors",Accelerometer,Samsung A220 F Nori
2437,,Removable Li-Ion 880 mAh battery,,Yes,100MB,,,3.15 MP,2010. Released 2010,"2.8 inches, 22.3 cm, (~40.5% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~167 ppi density)","TFT, 256K colors",,Samsung A200K Nori F
2438,,Removable Li-Po 1500 mAh battery,,VGA,16GB,Android 2.1 (Eclair),,"5 MP, AF","2010, September. Released 2010, October","4.0 inches, 45.5 cm, (~57.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Samsung I909 Galaxy S
2439,,Removable Li-Ion 1140 mAh battery,,No,,,,1.3 MP,"2010, November. Released 2010, November","2.4 inches, 17.8 cm, (~28.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT,  256K colors",,Samsung R570 Messenger III
2440,,Removable Li-Ion 1140 mAh battery,,No,100MB,,,2 MP,"2010, November. Released 2010, November","2.4 inches, 17.8 cm, (~28.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT,  256K colors",,Samsung R580 Profile
2441,,Removable Li-Ion 800 mAh battery,,No,100MB,,,1.3 MP,"2010, September. Released 2010, September",,176 x 220 pixels,"TFT, 65K colors",,Samsung T249
2442,,Non-removable Li-Po 4000 mAh battery,,1.3 MP,2GB,Android 2.2 (Froyo),,"5 MP, AF","2011, January. Released 2011, July","7.0 inches, 137.9 cm, (~60.2% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Samsung Galaxy Tab 4G LTE
